Words,Length,AROU,CNC,SIZE
,,M,M,M
camp (tents),4,3.581,6.152,3.742
camper,6,3.818,5.576,4.143
campus,6,4.121,5.688,5.333
canal,5,2.857,6.559,4.152
cancer,6,4.281,5.563,5.71
candidate,9,4.452,4.484,4.133
candle,6,4.903,6.621,2.194
candy,5,5.714,6.114,2.571
candyfloss,10,4.969,6.242,2.971
cane,4,4.031,6.546,3.273
cane (beat),4,4.576,5.813,3
cane (stick),4,4.677,6.371,2.818
cane (sugar),4,4.177,6.147,2.529
cannon,6,5.5,6.433,4.688
canoe,5,3.886,6.697,3.382
canyon,6,4.625,6.543,6.177
cap,3,3.286,6.314,2.147
cap (hat),3,3.686,6.543,2.4
cap (limit),3,3.273,3.455,4.546
capable,7,5.057,2.8,4.857
capacity,8,4.143,2.943,5.059
cape,4,4.364,5.807,3.364
captivate,9,6.97,2,4.656
captivating,11,7.484,2.258,5.581
captive,7,4.968,4.156,4.548
capture,7,5.485,4.235,4.543
car,3,4.914,6.857,4.677
caravan,7,3.455,6.469,4.606
carbohydrate,12,4.382,5.147,2.879
carbon,6,3.853,5.177,3.088
carcass,7,4.303,5.636,3.533
card,4,3.645,6.367,2.3
care,4,5.294,3.031,4.909
career,6,5.4,4.212,5.657
careful,7,4.152,3.147,3.882
caress,6,6.563,4.156,3.226
carnival,8,6.6,6.2,5.571
carol,5,3.697,4.912,3.364
carp,4,2.607,5.967,2.759
carpenter,9,3.333,6.114,3.853
carpet,6,3.529,6.147,3.857
carriage,8,4.182,6.303,4.194
carrot,6,3.618,6.909,2.486
carry,5,3.563,4.938,3.647
carve,5,4.059,4.324,3.625
case,4,3.179,5.53,3.631
case (container),4,2.727,6.563,3.029
case (instance),4,3.5,3.364,3.781
case (legal),4,3.735,4.353,4.824
cash,4,5.971,6.206,4.265
cashier,7,3.242,6.294,3.647
casino,6,5.441,6.6,5.088
cast,4,4.121,4.8,3.943
cast (actors),4,5.412,5.629,4.657
cast (plaster bandage),4,3.514,6.771,3.5
cast (throw),4,4.182,4.606,4.273
castle,6,5.875,6.5,5.97
casual,6,3.686,2.971,3.6
casualty,8,4.152,4.765,5.206
cat,3,3.97,6.548,2.546
catapult,8,5.581,6.364,4.613
catastrophe,11,6.088,3.143,6.657
catch,5,5.375,3.424,3.387
catch (a ball),5,5.257,5.147,3.229
catch (drawback),5,4.156,2.781,4
catch (restraint),5,4.941,4.375,3.909
